,PC1,PC2,PC3,PC4,PC5
1. Demographics::c2,-0.03213283259117657,-0.02418398326761119,-0.12916515167387074,0.11068879321420291,0.12032493083353642
1. Demographics::c4,-0.03864276674739652,-0.01694510663571993,-0.12723561074179277,0.10800786010486109,0.12581398828754306
1. Demographics::c6,-0.04186570402472781,-0.014793331700441198,-0.125339643869558,0.10640607741472366,0.1268735020811418
1. Demographics::c8,-0.060901586947745084,-0.01605541082859578,0.012967242535708178,-0.08012008310849136,0.051931935266547075
1. Demographics::c10,-0.08262312361207373,0.03879295091193111,-0.016563473005258893,-0.04447001607834138,0.015647446516165984
1. Demographics::c12,-0.04331231400638454,-0.014206491714734025,-0.12414559475701613,0.10442948215511946,0.1288398374651573
1. Demographics::c14,-0.0941838210023112,0.01340055564669825,-0.013332509233744723,-0.0313492337611775,0.02139670314780703
1. Demographics::c16,0.07973054073180823,0.006458643612735816,0.001809106719244245,0.05683405838125189,0.04458144067490717
1. Demographics::c18,0.07746258795357344,-0.10890204020005241,-0.036346993498151355,-0.009426192816428933,-0.012599181264949797
1. Demographics::c20,0.08646731966369739,-0.041236104731792525,-0.0260558552282932,0.03209486660006217,-0.05761207768121092
1. Demographics::c22,-0.09285301592547186,0.038475319147469496,-0.012285270840631602,-0.008067883661496964,0.0038826275806263105
1. Demographics::c24,-0.09371925570074281,0.04548084699158348,-0.006554379400552505,-0.0072173842769842015,0.0038000431353132826
1. Demographics::c26,0.07742787192395756,-0.07183932346254895,-0.024711880869809594,0.0011908648480029012,-0.0025286057420514795
1. Demographics::c28,0.049945282825409644,-0.05072696306669218,0.033063514756345454,-0.04998645228934494,0.08888101328900411
1. Demographics::c30,-0.05255733533498627,0.035041194630369345,-0.020017388654841494,-0.027696895549127208,0.0019766572606568105
1. Demographics::c32,-0.07243421741852558,0.08186251166051813,-0.02837662881755607,-0.0148431066128932,-0.0344863625136499
1. Demographics::c34,0.005745738205717841,-0.006760003200787825,-0.02946418455961051,-0.08865785565844206,0.03784395906174067
2. Child Mortality::c2,-0.09283758255606288,0.03344105689180374,-0.0206305322730735,-0.04621093276484703,-0.031817960043083696
2. Child Mortality::c4,-0.09015486212196996,0.0609982193547522,-0.007191389846452261,-0.048120365094096916,0.003227637041307816
2. Child Mortality::c6,-0.0916065177044142,0.011550744474875588,0.0028578694736333733,-0.04416253340853103,0.059697482224710434
2. Child Mortality::c8,-0.006762655395088898,-0.021598037874288167,0.06747740856579373,0.007477286733072995,-0.11552794122163947
2. Child Mortality::c10,-0.09204240072703988,0.014332924639592995,0.003760759376095328,-0.04412433697642363,0.06030098769488376
2. Child Mortality::c12,-0.09101595598999186,0.008225065948625097,0.0018792129515220976,-0.04413660957163332,0.058549237576842335
2. Child Mortality::c14,-0.09047650159036494,0.039759409089419134,0.0001449857678386263,-0.04804795821785793,-0.018260744540410562
2. Child Mortality::c16,-0.08432258311184122,0.026912780292464144,0.03663310116131745,-0.025070060567378937,0.06385790438748869
2. Child Mortality::c18,-0.08675982168797791,-0.0015282099967211119,-0.002195180065548674,-0.06196259649739208,-0.024338101045581203
2. Child Mortality::c20,-0.09012897918182775,0.010491131532862446,0.006388009024313027,-0.0648542634891415,-0.009041066888626487
2. Child Mortality::c22,-0.08654102079206791,0.02891800011347941,0.032509133205483653,-0.026180519795777065,0.05046906096404078
2. Child Mortality::c24,-0.0812476139031615,0.0039963871800762175,0.028331479537367373,0.016809589593480074,-0.06320880476619434
2. Child Mortality::c26,-0.08689894256535756,0.0014905095014598327,-0.005133806203702866,-0.05139973003702727,0.034061464297664996
2. Child Mortality::c28,-0.08488124291291158,-0.0063587105532862545,-0.0034972843275918345,-0.03777727517552898,-0.017031034343385123
2. Child Mortality::c30,-0.0897671257650182,-0.011462619810922807,0.028602495345785114,-0.02764632540932063,0.02694527185335993
2. Child Mortality::c32,0.0010959860373571614,-0.015707896983364257,-0.08077025799755284,-0.01233391953140674,-0.1059670730534943
2. Child Mortality::c34,-0.044502312221370036,-0.01402741862389924,-0.10409723217833482,0.07725489342615185,0.14756222624794574
2. Child Mortality::c36,-0.04485165571844366,-0.011498591692917002,-0.11000006482852884,0.08811889117563933,0.14133419200187616
2. Child Mortality::c38,0.08408455700389307,-0.022288704957828958,0.004710015995487236,0.05276511967563715,-0.042809079809535695
2. Child Mortality::c40,-0.04529564264881839,-0.013682813325286253,-0.10693095453875927,0.07413064410404407,0.14288354144387694
2. Child Mortality::c42,-0.050065016543745886,-0.01495706900572476,-0.10938008838686598,0.09175641405402743,0.13001886708771732
3. Maternal And Ne::c2,0.0823301183118855,-0.03845326975672691,-0.02116759627105878,0.04643663920141267,-0.05316989819469563
3. Maternal And Ne::c4,0.07263384908185704,0.062097241386043174,-0.016218940214041477,0.02745459201520847,-0.04211635437796609
3. Maternal And Ne::c6,0.05995516937270172,0.0983060332315023,-0.03722833501556424,0.05830316228712591,-0.002662529269645636
3. Maternal And Ne::c8,0.07594032225796384,0.07203399643107128,-0.028649718109052823,-0.022967122253233403,-0.038103811277735336
3. Maternal And Ne::c10,0.07852973551384702,0.04342406698172609,-0.02776703767886971,-0.020458981818701434,0.024382325982138697
3. Maternal And Ne::c12,0.08787664995012472,0.03384905781372584,-0.007287408500257263,0.007381092149058248,-0.00016579307535651925
3. Maternal And Ne::c14,0.09006533248827389,0.053651093666926254,-0.031874610125579884,-0.02917265991708346,-0.003213706984761404
3. Maternal And Ne::c16,0.08462121493368653,-0.05945169788449989,-0.03492611585672964,0.05640375048927554,0.004579594978603357
3. Maternal And Ne::c18,0.08878743630050681,0.031329971669617394,-0.0435960219778887,-0.04738844269717478,-0.022589915805615566
3. Maternal And Ne::c20,0.09049005765375043,0.03324591873118047,-0.026829114348490925,-0.07318182702254575,0.009948144458002519
3. Maternal And Ne::c22,-0.036023321363201063,-0.013144338535533222,-0.09722696651137643,0.06790854200146605,0.14506177347049515
3. Maternal And Ne::c24,-0.07835638086416417,-0.004470661814411415,-0.024379005733688595,-0.0303126064341937,0.044955111815531724
3. Maternal And Ne::c26,0.07961056331616959,-0.06787638309006978,-0.04100161237911916,0.03883927357798731,-0.004377215143955454
4. Child Health::c2,0.050460829017934174,0.0498684328745521,-0.05878175401868093,-0.007931160255137354,-0.10711152208091437
4. Child Health::c4,0.05253097023415992,0.0477935426836631,-0.05927071683925878,0.0014028385924177945,-0.11738265316134074
4. Child Health::c6,0.06440373762265589,0.04479806825854887,-0.054366517689436525,0.013975740415476258,-0.12296198209432296
4. Child Health::c8,0.06111307115524662,0.03845679068578542,-0.0618141437091087,0.025311140366950476,-0.11675983659449425
4. Child Health::c10,0.07010211629429135,0.026066707437209076,-0.03199727249233678,0.03605334488784449,-0.12482328075586802
4. Child Health::c12,0.0811000536543306,0.010860806782191942,-0.048950825948322035,0.03601620426572561,-0.11547850887402925
4. Child Health::c14,0.06440373762265589,0.04479806825854887,-0.054366517689436525,0.013975740415476258,-0.12296198209432296
4. Child Health::c16,0.06447367967948622,0.045041718397576785,-0.054285486477409835,0.014152254253043828,-0.12322391156380862
4. Child Health::c18,0.06653796724975092,0.024136304042129672,-0.06761454186853211,-0.018902945901794,-0.1263835640060698
4. Child Health::c20,0.06701088846839316,0.05620882364092354,-0.03400762751804997,-0.03281061622141743,-0.15255773612059736
4. Child Health::c22,0.07641284662470053,0.026985648854814005,-0.05007733500632291,0.021812093732547954,-0.10323247959751851
4. Child Health::c24,0.03853240128230016,0.015943633872334405,0.019843304680577968,0.009807326943930295,-0.04568218925595687
4. Child Health::c26,0.024330241283588024,0.040347823074058126,0.05634417440829023,0.03328041250826788,-0.0005826089712037052
4. Child Health::c28,0.03917766484580597,0.06531779689599343,-0.0492206768933484,-0.0022659401400398145,-0.014561022647689645
4. Child Health::c30,-0.03277856774513993,0.046007774087273356,-0.09390820676107385,-0.026363744807896394,-0.057442009063012035
4. Child Health::c32,-0.03153733701995069,0.0523396096050813,-0.11893964668738334,-0.03937253007138443,-0.08701277896879318
5. Adolescent Heal::c2,-0.08740183366501894,-0.014282071008270369,0.03590816893969704,-0.04145170740580069,0.03548097171316612
5. Adolescent Heal::c4,-0.050152452297166125,-0.02198454183252636,-0.10864383530591072,0.0898148631995129,0.14146833092399053
5. Adolescent Heal::c6,-0.013811050007033383,0.057195187736093694,0.05693821333934275,0.01444220103117548,-0.08252212259481427
5. Adolescent Heal::c8,-0.05537535213976355,0.021254432196881272,0.0465753026257878,-0.07227871789578685,0.04439982627429539
5. Adolescent Heal::c10,-0.07780746286083062,0.05200575279907896,0.034993171350725244,-0.06371582652234499,0.035529123247678776
5. Adolescent Heal::c12,-0.07953853845196704,0.05348745629749992,0.024067078292183828,-0.07680135314621653,0.03343625501621087
5. Adolescent Heal::c14,0.07055072372790762,0.06954152260087758,-0.04216057612952023,0.05977971385113116,-0.03167281898397924
5. Adolescent Heal::c16,0.0685561277255177,0.1005074308887635,-0.03233499538800331,0.026066420394677305,-0.005771700976112782
5. Adolescent Heal::c18,0.0734117564836694,0.04882293494575274,-0.027750838901010082,-0.041514295341808186,0.02301613104563102
5. Adolescent Heal::c20,0.08946765177664211,0.03735949472512167,-0.018107519470998704,-0.009218944603881245,-0.0063461068636472655
5. Adolescent Heal::c22,-0.007511401839811371,0.09440828958587164,-0.06730221230515418,0.011359912412403228,-0.012699045748352783
5. Adolescent Heal::c24,0.032763839561331345,0.0804680242600764,-0.042107906285385285,-0.07104818437867917,0.09379295452223577
5. Adolescent Heal::c26,0.03374312847390116,0.07695333661205687,-0.04084718605235046,-0.07236881911363938,0.0946800175828814
5. Adolescent Heal::c28,0.03342319736168952,-0.02227682555458193,0.05361490468400164,-0.05711241123312956,0.02604790736325803
5. Adolescent Heal::c30,0.013862967244665568,0.03446139161970752,0.06370405828315433,-0.057178114981375774,0.032807163293524955
6. HIV AIDS Epidem::c2,-0.009794916134557198,0.11924017723399592,0.09973967641025099,0.02915446217164445,0.07975146544748635
6. HIV AIDS Epidem::c3,0.00311822210143415,0.11298041256351146,0.12131243208998485,0.06014146832850447,0.05877031018680507
6. HIV AIDS Epidem::c4,0.0029176397200562105,0.11625513848316578,0.11852756249130995,0.057165247681112925,0.06022274903119074
